,Unnamed: 0,swiss
0,0,ich bruche mini veralagig f fcrs jahr zweitausendzweiundzwanzig ha i dem jahr zsg
1,1,gwohnt
2,2,ja gern dass mach i danke viel mal und en sch fsechsne tag
3,3,guten tag mini fr fcndin m fsechschte c beantr evierge h eviert aber
4,4,verfallsazeig becho
5,5,ja gern
6,6,danke glichfalls ade
7,7,da isch firma niedermann ag min name isch schmied
8,8,mir h eviernd e zahlig vom amt f fcr finanzdienstleistungen erhalten ch fsechsnds n fsechsd iteile
9,9,sehr gern danke
10,10,danke und ade
11,11,guten tag ich sueche frau schrepfer
12,12,ich kann frau schrepfer nicht erreichen ich versuechs sit tage
13,13,ja gern
14,14,ch fsechsnd sie mir e frog beatworte
15,15,gutet denn versuech ichs ab die vierzehn a
16,16,danke au
17,17,da isch    fünfundachtzig
18,18,mini mitarbeiterin h eviert bi nem kongress bsuech ihren uswis im usland verlohre
19,19,danke viel mal das leite ich gern wiiter
20,20,ufwiederlose und danke
21,21,ich heisse vo de firma  fünfundachtzig ich han e mitarbeiterin agmeldet im meldeverfahren er isch aber wieder gange wie chan ich en abmelde und wie weiss ich weiviel t evierg er no zguet h eviert
22,22,ok danke
23,23,ja gern danke und en sch fsechsne tag
24,24,da isch bank  fünfundachtzig sg
25,25,mir h eviernd iladige gmacht f fcr en theater bsuech in sg f fcr kunde und en berater vo de bank goht mit bruchts da e sunntigsbewillligung 
26,26,n fsechsd extra er beratet aber glich nebed bi tuet froge beantworte und luege das sich dchunde wohl f fchlet
27,27,ja gern danke viel mal
28,28,ich probiers gern wieder
29,29,ja mach ich den gern danke und en sch fsechsne tag ufwieder lose
30,30,gr fcezzi ich bin f fcr hilfe organisation fünfundachtzighan en herr  bi mir
31,31,er h eviert en positive asylentscheid becho und es stoht das er sich bim miga melde mue
32,32,gern ja
33,33,danke au
34,34,gr fcezzi min name isch  fünfundachtzigich versuech frau b fcrkler mit dem schwierige vorname zerreiche
35,35,ja sehr gern danke viel mal
36,36,da isch firma fünfundachtzig mir h eviernd grenzg eviernger wo no die alt adresse verzeichnet isch w fcrd gern die neu adresse ageh
37,37,danke viel mal
38,38,ade
39,39,gr fcezzi  ich bin st fcrberater vo zh und han en kund wo e liegenschaft in sg h eviert wegen liegenschatsuntehalt
40,40,was me cha vo de st fcre abzie was n fsechsd
41,41,ja
42,42,ja gern  danke viel mal
43,43,guten tag
44,44,ich rufe an f fcr einen blauen reisepass
45,45,danke
46,46,ich melde mich wegen heiratsurkunde und familiennachzug
47,47,ich habe geheirattet und familiennachzug beantragt leider geht es beim miga nicht weiter da anscheinden bei ihnen amt f fcr b fcrgerrecht  unsere heiraturkunde nicht registiret wurde
48,48,mach ich gerne danke auf wiieder h fsechsren
49,49,gr fcezzi
50,50,ich habe ein verl evierngerungsgesuch erhalten ziehe aber in einem monat um muss ich das gesuch einreichen
51,51,gerne
52,52,gr fcezzi ich bin frau  fünfundachtzig ich sueche jemand wo verantwortig h eviert f fcr ankauf vo lkws
53,53,es h eviert e preisabsprach im handel geh und drum l fct ich i jedem kanton a zum de betrug witerleite
54,54,ja das glaub ich ihne isch i jedem kanton  fsechsppe die glich reaktion gsie abe ri de meiste kant fsechsn isch s t fcfbauamt zuest evierndig gsie
55,55,ja danke viel mal f fcr d bem fchige
56,56,hallo
57,57,ich rufe f fcr einen freund er ist gekommen neu aus bulgarien hat
58,58,einen bausweis bestellt
59,59,er h eviert n fcnd meh k fsechsrt und sind scho drei m fsechsnet verbi wie lang muenner no warte
60,60,viele dank
61,61,gr fcezi do isch frau fünfundachtzigvo d evier fünfundachtzig
62,62,han e frog zu meldeverfahre  fsechsb i mehreri
63,63,mitarbeitr chan amelde wo f fcrs gliche gsch evierft schaffet
64,64,danke vielmol
65,65,guete morge do isch fünfundachtzig
66,66,i m fsechschte gern mini frischt vo d evier st fcre verl evierngere
67,67,jo
68,68,jo
69,69,viele danke und en sch fsechsne tag
70,70,hallo ich rufe sie an wegen meinem ausweis
71,71,b
72,72,ich m fsechschte es verl evierngern m fsechschte fragen ob ich das voher machen kann
73,73,vielen dank sch fsechsnes wochenende
74,74,guete tag
75,75,i han e rechnig  fcbercho zum zahle m fsechschte fr fsechsge wenn chum i d evier termin  fcber
76,76,isch das normal das rechnig voher chund
77,77,danke vielmol und en sch fsechsne tag
78,78,gute tag do isch frau fünfundachtzig
79,79,i han w fsechslle fr fsechsge i han d evier uswies scho  fcbercho und mini
80,80,muetter h evierts am gliche tag wie ich d evier termin ka und no n fcnd
81,81,fcberchowieso den das
82,82,sehr gern fünfundachtzig
83,83,viele dank und en sch fsechsne tag
84,84,gr fcezi do isch d evier herr fünfundachtzig
85,85,i han e frog han im februar per mail eu e verfallsazeig gschickt
86,86,und bis jetzt n fcnd me k fsechsrt
87,87,viele dank und sch fsechsne tag
88,88,gr fcezi do isch frau  fünfundachtzig
89,89,i l fcte a weg min sohn er h eviert no kein termin  fcbercho
90,90,jo
91,91,c
92,92,danke und sch fsechsne tag
93,93,gr fcezi do isch herr fünfundachtzig
94,94,i han vor ca drei woche en notfallpass beantreit und no n fcnd  fcbercho
95,95,gmeind seit i mues am migrationsamt al fcte
96,96,sehr gern
97,97,viele dank und en guete
98,98,gr fcezi do isch frau fünfundachtzig fünfundachtzig
99,99,i l fcte a f fcr meine kollegin us d evier ukraine
100,100,es goht um d evier status s verl evierngere
101,101,ha grad n fcnd zum schriebe
102,102,danke und uf wiederh fsechsre
103,103,gr fcezi do isch frau fünfundachtzig
104,104,es geht um meine neffe sie ist ukrainerin um status zu verl evierngern
105,105,hat bis heute nicht mehr geh fsechsrt
106,106,danke sch fsechsn sch fsechsnen tag
107,107,gr fcezi do isch herr fünfundachtzig
108,108,es goht um meine sohn w eviergem reisepass
109,109,er isch frisch gebore und h eviert kein pass wie chani eine beatrage
110,110,jo gnau
111,111,danke vielmol
112,112,gr fcezi do isch frau fünfundachtzig
113,113,mini eltere h eviernd d evier uswies  fcbercho aber d evier termin
114,114,verpasst ums go abhole fünfundachtzigwas passiert jetzt
115,115,danke vielmol uf widerh fsechsre
116,116,gr fcezi do isch herr fünfundachtzig
117,117,ich und min br fceder h eviernd glichzitig en usl eviernder fcswies
118,118,bstellt
119,119,er h eviert bereits scho en termin  fcberchowieso han i no n fcnd
120,120,fcberchoa was liegts das i no kein termin han
121,121,welli kretrie w evierret aglueget das min br fceder bereits scho en
122,122,termin  fcbercho h eviert
123,123,danke vielmol
124,124,ihne au uf wiederh fsechsre
125,125,gr fcezi do isch herr fünfundachtzig
126,126,i han e frog wegem c uswies
127,127,i hanen scho vor e paar wuche zuegstellt und no n fcnd  fcbercho
128,128,viele dank uf wiederh fsechsre
129,129,gr fcezi do isch name
130,130,ich han gmerkt dass ich dr evierchnig vom usl eviernderuswies doppelt zahlt han
131,131,perfekt vielen dank
132,132,gr fcezi do isch name
133,133,ch fsechsnd sie mich bitte mit d evier sozialarbeiterin vo mim sohn verbinde
134,134,ja genau d eviernn bin ich do falsch
135,135,perfekt vielen dank
136,136,gr fcezi do isch name
137,137,ich han  evier frog zur quell evierst fcr und han frau xy n fsechsd ch fsechsne erreiche
138,138,perfekt vielen dank
139,139,gr fcezi do isch name
140,140,ich bin neu uf st gall evier z fcglet und muess jetzt mini st fcre zahl evier
141,141,perfekt vielen dank
142,142,gr fcezi do isch name
143,143,ich han e frog zur verl evierngerig vom usl eviernderuswis vo minere frau
144,144,es goht um d evier bsuech vo d fctschk fcrs
145,145,perfekt vielen dank
146,146,gr fcezi do isch name
147,147,ich han e frog chani mit d evier b bewilligung im liechtestei go schaffe
148,148,perfekt vielen dank
149,149,gr fcezi do isch name
150,150,ich s fsechstt en alti rechnig vo d evier grundst fcckgw fcnnst fcre vom jahr xy ha
151,151,perfekt vielen dank
152,152,gr fcezi do isch name
153,153,ich war k fcrzlich mit meinem neugeborenen am fototermin und weiss nicht ob ich die geburtsurkunde dort gelassen oder vergessen habe
154,154,perfekt vielen dank
155,155,gr fcezi do isch name
156,156,ich han d evier uswis c us d evier verl evierngerig zrugg becho und w fsechst w fcsse worum d evier nur eins johr g fcltig isch
157,157,perfekt vielen dank
158,158,gr fcezi do isch name
159,159,ch fsechsnt sie mich mit d evier frau xy vo d evier quellest fcr verbinde
160,160,dann melde ich mich am mentig wieder
161,161,gr fcezi do isch name
162,162,ich habe gestern eine anmeldung im meldeverfahren gemacht
163,163,es geht um personen aus dem eu raum
164,164,perfekt vielen dank
165,165,gr fcezi do isch name
166,166,ch fsechsnned sie mich bitte ad grundst fcckgewinnst fcre verbinde
167,167,ok und vielen dank
168,168,gr fcezi do isch name
169,169,ich han d evier uswies is migrationsamt gschickt und min lehrbetrieb verlangt e best eviertigung vom uswies
170,170,perfekt vielen dank
171,171,gr fcezi do isch name
172,172,jetzt hani eigentlich duswiesstelle gesuchet
173,173,ich m fcesst w fcsse wieviel en pass und en id choschtet
174,174,perfekt vielen dank
175,175,gr fcezi do isch name
176,176,d evier cuswies vo mine eltere lauft endi juni ab w eviernn chame d evier usiwes fr fchestens verl evierngere
177,177,perfekt vielen dank
178,178,guten tag ich bin herr xx
179,179,ich das formular x f fcr die steuerbeh fsechsrde in oesterreich das formular
180,180,dass ich erhalte habe ist das falsche die beh fsechsrde akzeptiert das nichtwo arbeiten sie
181,181,bei firma yy in heerbrugg
182,182,vom kanton thurgau habe ich das richtige bekommen aber von sg
183,183,nicht wie ist das m fsechsglich ver evierrgert
184,184,da ist frau m ich wurde an der schulter operiert und hatte ein
185,185,restaurant und so weiter fünfundachtzig
186,186,ich habe formulare ich muss das ausf fcllen kann ich vorbeikommen
187,187,ich habe formulare ich muss das ausf fcllen kann ich vorbeikommen
188,188,ueberlegt fünfundachtzig fünfundachtzig ich brauche das migrationsamt
189,189,danke entschuldigung dann habe ich die falsche nr
190,190,gr fcezi i bi de herr  fünfundachtzig fünfundachtzig fünfundachtzig i br fccht e arbeitsbewilligung f fcr e dame
191,191,nei sie isch us venezuela und gad i  die ferie bi de schwester
192,192,i w fcrd ihre en arbeitsvertrag usstelle
193,193,i tues mol aluege w fcrd ebe gad so passe i de schwiz findet mir jo
194,194,kei l fct danke vielmol f fcr d uskunft i luegs emol a
195,195,gr fcezi do isch frau wieviel zahled er f fcr e wohnig
196,196,jo s sozialamt
197,197,i will id stadt stgallen z fcgle ha e wohnig gseh
198,198,jo aber im google stoht die nummere
199,199,oh i ha n fct zum schriebe ch fsechsntez mi au verbinde
200,200,danke vielmol
201,201,gr fcezi de isch de herr xx vom altersheim yy in stgallen
202,202,jo eigentlich sueche jo frau sonderegger aber die isch jo sit wuche
203,203,telefonisch n fsechsd erreichbar und jetzt chumi no so en l evierppische
204,204,brief  fcber i m fcess d unterlage vom agstellte innert zwei woche ischicke
205,205,d frau sonderegger het aber fünf m fsechsnet brucht zum mir mitteilen wege de
206,206,quellest fcr und so weiter schafft  fcberhaupt oeppert i de
207,207,quellest fcr und so weiter 
208,208,jo da isch in ordnig er beruhigt sich wieder
209,209,gr fcedzi do isch frau xxx us xxxxxx
210,210,min bekannte de herr b het e rechnig  fcbercho de termin f fcr d
211,211,foti hett er aber erscht am achtzehntausenddreihundertvierundzwanzig er zahlt doch n fsechsd im vorusam
212,212,schluss chunt er kein uswis ueber und scho zahlt
213,213,chunt er en denn gad ueber
214,214,jo guet bi zwor no n fsechsd ueberz fcgt dass da klapped
215,215,adie
216,216,guten tag ich lebe seit cirka drei jahren in der schweiz mit drei kindern
217,217,mein mann lebt in deutschland und zahlt keine alimente
218,218,gibt es in der schweiz eine hilfe zur alimentenzahlung
219,219,vielen dank
220,220,gr fcezi do isch frau f isch das m fsechsglich dass sie mi mit
221,221,de frau kast verbindet
222,222,guet denn meld i mi am mo wieder sie het mir ebe s fsechslle no was maile
223,223,guten tag ich habe etwa am zwölf februar meinen ausweis f zur
224,224,verl evierngerung eingereicht ich habe nichtrs mehr geh fsechsrt ich
225,225,habe bald ferien und m fsechschte meine mutter besuche ohne ausweis
226,226,geht das nicht
227,227,gr fcezi do isch de herr f ich m fsechschte w fcsse oebs  no kontingent
228,228,f fcr kroate het
229,229,guten tag ich bin zehn jahre in der schweiz bekpomme ich automatisch
230,230,den c ausweis
231,231,vielen dank f fcr ihre hilfe wenn ich noch fragen habe melde ich
232,232,mich wieder
233,233,gr fcezi i wohn iin appenzell und ha e firma in stgallen i ha
234,234,e st fcrerkl evierrig vom kanton stgalle uebercho weg de st fcr
235,235,usscheidig
236,236,jo es isch e einzelfirma
237,237,danke vielmol
238,238,i bin xx ich habe im dezember meinen ausweis f verloren und haben
239,239,seitdem nichts mehr geh fsechsrt und auch keinen neuen ausweis erhalten
240,240,ja aber keinen neuen ausweis erhalten
241,241,danke
242,242,guten tag bin nicht sicher ob ich an der richtigen stelle bin ich
243,243,h eviertte eine aufsichtsbeschwerde gegen das betreibungsamt
244,244,habe jetzt einfach beim amt f fcr gemeinden angerufen
245,245,nein nei ich rufe direkt selber an vielen dank f fcr ihre hilfe
246,246,gr fcezi i han do die def st fcrveranlagig uebercho und schlussrechnig
247,247,f fcrs zweitausenddreiundzwanzig isch aber viel z hoch schaffsch weniger und muesch immer
248,248,meh st fcre zahle
249,249,i wohn in ebnatkappel aber i w fcrd gern mit em zuest evierndige kant
250,250,st fcrkommiss evierr rede 
251,251,danke vielmol i meld mi am mo wieder
252,252,kantonali verwaltig min name isch shala gr fcezzi
253,253,ja sei m fcend de st fcrverwaltig in st galle al fcte de st fcrgmeind wo sie do
254,254,gwohnt h eviernd ich gib ihne gern telefonummere a 0siebenhundertzwölf Millionen zweihundertfünfundvierzigtausendvierhundert
255,255,danke und ufwiederlose
256,256,kantonaleverwlatung sg min name isch shala gr fcezzi
257,257,ich tuens sie do gern zu de sachbearbeiter vermittler
258,258,danke und en sch fsechsne tag w fcnsch ich ufwiederlose
259,259,kantonaliverwlatig in sg min name isch shala gruezzi
260,260,ich verbind sie gern id abteilig amt f fcr finanzdienstleistungen
261,261,ich danke ihne und w fcnsch en sch fsechsne tag ufwiederlose
262,262,kantonaleverwlatung in sg min name isch shal a
263,263,telefonleitige vom migrationsamt sind leider scho zue sie sind wieder f fcr sie ab die vierzehn erreichbar
264,264,ich luege gern im kalender na wie sie am arbeitspltaz isch e moment bitte
265,265,sie isch erst morn wieder erreichbar
266,266,tuet mir leid ich bin vo de zentrale und smigrationsamt isch ab die vierzehnwieder erreichbar
267,267,danke viel mal en sch fsechsne tag und ufwieder lose
268,268,kantonali fünfundachtzig
269,269,sie mue e verlustazeig bi de polizei am wohnort mache und den bechunt sie en verlustschii  fcber mit dem cha sie sich bim migrationsamt melde
270,270,danke au und e sch fsechsns t eviergli ade
271,271,kantonali verwlatig fünfundachtzig fünfundachtzig
272,272,sie ch fsechsnd en mit dem verf fcegbari meldebest eviertigung mal abmelde uf de emailadresse meldeverfahrensgch
273,273,f fcr dberechnig vo de verf fcgbari t evierg muess ich sei mit de frau kast verbinde e moment bitte
274,274,danke ihne f fcr de aruef au en sch fsechsne tag 
275,275,ade
276,276,kantonali verwaltig fünfundachtzig
277,277,chunt de mitarbeiter f fcr da en lohn  fcber
278,278,d fsechsrf ich ihne telefonnummere vom herrn schacher age h eviernd sie gad  fsechspis zum schriebe
279,279,sehr gern 0achtundfünfzig zweihundertneunundzwanzig 0zwei dreiundzwanzig herr schacher isch i moment n fsechsd am abreitsplatz sie d fsechsrfet izehn min omel a fsechs fcte
280,280,falls sie de herr schacher telefonisch gad n fsechsd erreichet d fsechsrfet sie afrog gern per mail stelle an arbeitsinspekotratsgch
281,281,sehr gern danke ihne f fcr de aruef auch en sch fsechsne tag ade
282,282,ich verbind sie gern mit de frau sahiti vo de asylabteilig sie chan ihne sicher witer helfe
283,283,danke und ufwieder lose
284,284,kantonale verwaltung
285,285,ja ich weiss wer sie meinet ich luege gern na wie sie erreichbar isch
286,286,ich gseh gad dass sie umgleitet h eviert ufs handy stell sie gern mal dure
287,287,ja verbind sie gern zu de sachbearbeiter im migrationsamt
288,288,danke au und en sch fsechsne tag ade
289,289,wie meinet sie das
290,290,isch dligeschaft i de stadt sg
291,291,den gib ich ihne gern telefonnummere vo de stadt sg a
292,292,danke ihne und en sch fsechsne tag ade
293,293,kantonali verwaltig  sg
294,294,sehr gern verbind sie zu de abteilig
295,295,danke ihne und en sch fsechsne tag  ade
296,296,ja ich sehe das niemand beim amt f fcr b fcrgerecht ans telefon gegangen ist daher wurde das gespr evierch zu uns weitergeleitet
297,297,leider kann ich ihnen nichts dazu sagen darf ich sie bitten in zehn minuten nochmal anzurufen
298,298,sehr gern danke au
299,299,kantonale verwaltig
300,300,ich verbinde sie gerne mit einem sachbearbeiter im migrationsamt einen moment bitte
301,301,aufwiederh fsechsren
302,302,ok leider fallt mir i moment niemert ii wo das macht ch fsechsnd sie mir echli me verzehle
303,303,ch fsechsnd sie mir s evierge wer i de andere kant fsechsn welles amt zuestendig isch demit ich weis i welli richtig das ch fsechsnd gah wil die afrag ich no nie ka han
304,304,den frog ich gern d fsechst ii de abteilig ich danke ene
305,305,frau nicole salanitir im bd empfang nimmt sich de sach a
306,306,guete morge
307,307,um was gohts den
308,308,i verbinde sie grad mitem migrationsamt
309,309,danke au und uf wiederh fsechsre
310,310,gr fcezi frau fünfundachtzig
311,311,i verbind sie grad i dere abteilig moment bitte danke und uf wiederh fsechsre
312,312,danke f fcr d evier aruef und uf wiederh fsechsre
313,313,guete morge herr fünfundachtzig
314,314,sind sie e nat fchrlichi person
315,315,denn sind sie do falsch wohnet sie im kanton sg
316,316,denn gib ich ihne telnmr ah vo d evier gmeindst fcramt
317,317,danke ihne au en sch fsechsne tag
318,318,guten tag was f fcr einen ausweis haben sie
319,319,um was geht es
320,320,ich verbinde sie gerne mit dem migrationsamt
321,321,danke ihnen auch auf wiederh fsechsren
322,322,gr fcezi
323,323,es chund denn en termin vom migrationsamtsie m fsechsnd sich e bizzeli gedulde
324,324,jo das chan sie das vorab sie erscht rechnig  fcberch fsechsmet
325,325,ihne au sch fsechsne tag und sch fsechss wuchenend
326,326,guete morge frau fünfundachtzig
327,327,sie l fctet no usserhalb d evier b fcrozite ahsie ch fsechsnd gern ab d evier neun am migrationsamt al fcted fsechsrf ich ihne die direkt nmrageh
328,328,isch fünfundachtzigab d evier neun ch fsechsnd sie gern direkt d fsechstte al fcte
329,329,danke das w fcnsch ich ihne au fünfundachtzig
330,330,guete morge herr fünfundachtzig
331,331,das goht ums migrationsamt i verbind sie grad d fsechstt ane
332,332,danke ihne au sch fsechsne tag uf wiederh fsechsre herr fünfundachtzig
333,333,gr fcezi frau fünfundachtzig
334,334,gohts um d evier usl eviernderuswies
335,335,was h eviert er f fcr e bewilligung
336,336,i verbinde sie grad mitem migrationsamt
337,337,danke ihne au uf wiederh fsechsre
338,338,gr fcezi herr fünfundachtzig
339,339,do sind si richtig aber smigrationsamt h eviert scho zued fsechsrf ich ihne die
340,340,direkt nmrageh
341,341,danke ihne au en guete
342,342,gr fcezi frau  fünfundachtzig
343,343,sie l fctet usserhalb d evier b fcrozite ah fünfundachtzigd fsechsrf ich ihne nmr grad ageh wo sie ab d evier vierzehn ch fsechsnd al fcte
344,344,denn l fctet sie ab vierzehn uhr nomel ah mir ch fsechsnd sie witerverbinde
345,345,bis sp fsechster uf wiederh fsechsre
346,346,gr fcezi
347,347,das goht ums migrationsamt i verbinde sie grad
348,348,sehr gern ihne au uf wiederh fsechsre
349,349,gr fcezi herr fünfundachtzig
350,350,um was gohts denn
351,351,gohts um d evier blaui reisepass
352,352,i verbind sie grad i dere abteilig
353,353,sehr gern uf wiederh fsechsre
354,354,gr fcezi frau fünfundachtzig
355,355,sie s fsechsttest im normal fall nomel  fcbercho aber i verbinde sie gern
356,356,mitem migrationsamt
357,357,sehr gern uf wiederh fsechsre
358,358,gr fcezi herr fünfundachtzig
359,359,um was gohts denn
360,360,do isch migrationsamt zuest evierndig
361,361,i verbinde sie doch grad mitem migrationsamt
362,362,danke au f fcr d evier aruef und en sch fsechsne tag
363,363,uf wiederh fsechsre herr fünfundachtzig
364,364,gr fcezi herr fünfundachtzig
365,365,um was gohts denn
366,366,do isch smigrationsamt zuest evierndig i verbinde sie grad
367,367,sehr gern uf wiederh fsechsre
368,368,gr fcezi do isch xy kantonale telefonzentrale
369,369,gr fcezi herr name wie chani ihne behilflich si
370,370,bitte l fctet sie morn wieder a w eviernns mig g fsechsffnet h eviert dnummer lutet fünfundachtzig
371,371,bitte sch fsechsnen nachmittag
372,372,gr fcezi do isch xy kantonale telefonzentrale
373,373,gr fcezi frau name wie chani ihne behilflich si
374,374,well eviers amt m fsechschted sie d eviernn spr evierche sozialamt vo sg
375,375,gerne gib ich ihne nummer vom sozialamt sg  0einundsiebzig  fünfundachtzig
376,376,bitte sch fsechsnen nachmittag
377,377,gr fcezi do isch xy kantonale telefonzentrale
378,378,gr fcezi herr name wie chani ihne behilflich si
379,379,blick in kalender ja frau xy isch h fct abwesend ich verbinde sie mit d evier quellensteuer hotline
380,380,bitte sch fsechsnen tag
381,381,gr fcezi do isch xy kantonale telefonzentrale
382,382,gr fcezi frau name wie chani ihne behilflich si
383,383,sind sie i d evier stadt sg wohnhaft d eviernn m fcend sie folgendi nummer w evierhle
384,384,bitte sch fsechsnen tag
385,385,gr fcezi do isch xy kantonale telefonzentrale
386,386,gr fcezi herr name wie chani ihne behilflich si
387,387,um was genau gohts d eviernn
388,388,d eviernn verbinde ich sie gern zum migrationsamt
389,389,bitte sch fsechsnen tag
390,390,gr fcezi do isch xy kantonale telefonzentrale
391,391,gr fcezi herr name wie chani ihne behilflich si
392,392,ich verbinde sie zum migrationsamt
393,393,bitte sch fsechsnen tag
394,394,gr fcezi do isch xy kantonale telefonzentrale
395,395,gr fcezi herr name wie chani ihne behilflich si
396,396,ich verbinde sie gern ad person wo h fct telefondienscht i d evier abteilig h eviert
397,397,bitte sch fsechsnen tag
398,398,gr fcezi do isch xy kantonale telefonzentrale
399,399,gr fcezi herr name wie chani ihne behilflich si
400,400,ich verbinde sie zur ausweisstelle dort k fsechsnnen sie nachfragen
401,401,bitte sch fsechsnen nachmittag
402,402,gr fcezi do isch xy kantonale telefonzentrale
403,403,gr fcezi frau name wie chani ihne behilflich si
404,404,ich verbinde sie id usl eviernderabteilig vom migrationsamt
